
Entrada: 
50 63 92 99 85 15 68 92 29 34 1 32 34 57 76 70 42 77 72 36 18 3 48 64 96 5 69 42 59 2 1 16 69 67 79 52 91 2 67 64 70 50 5 98 46 77 21 86 23 96 

s_: 0 |p_: 99 | 99
s_: 1 |p_: 1 | 2
s_: 0 |p_: 92 | 92
s_: 1 |p_: 1 | 2
s_: 0 |p_: 85 | 85
s_: 2 |p_: 2 | 4
s_: 0 |p_: 68 | 68
s_: 2 |p_: 2 | 4
s_: 0 |p_: 29 | 29
s_: 3 |p_: 3 | 6
s_: 0 |p_: 63 | 63
s_: 5 |p_: 5 | 10
s_: 0 |p_: 34 | 34
s_: 5 |p_: 5 | 10
s_: 0 |p_: 76 | 76
s_: 15 |p_: 15 | 30
s_: 0 |p_: 42 | 42
s_: 16 |p_: 16 | 32
s_: 0 |p_: 72 | 72
s_: 18 |p_: 18 | 36
s_: 0 |p_: 36 | 36
s_: 21 |p_: 21 | 42
s_: 0 |p_: 48 | 48
s_: 23 |p_: 23 | 46
s_: 0 |p_: 96 | 96
s_: 32 |p_: 32 | 64
s_: 0 |p_: 69 | 69
s_: 34 |p_: 34 | 68
s_: 0 |p_: 59 | 59
s_: 42 |p_: 42 | 84
s_: 0 |p_: 50 | 50
s_: 46 |p_: 46 | 92
s_: 0 |p_: 69 | 69
s_: 50 |p_: 50 | 100
s_: 0 |p_: 79 | 79
s_: 52 |p_: 52 | 104
s_: 0 |p_: 91 | 91
s_: 57 |p_: 57 | 114
s_: 0 |p_: 67 | 67
s_: 64 |p_: 64 | 128
s_: 0 |p_: 70 | 70
s_: 64 |p_: 64 | 128
s_: 0 |p_: 92 | 92
s_: 67 |p_: 67 | 134
s_: 0 |p_: 77 | 77
s_: 70 |p_: 70 | 140
s_: 0 |p_: 77 | 77
s_: 77 |p_: 86 | 163
s_: 163 |p_: 98 | 261
s_: 67 |p_: 96 | 163
